,County,State,FIPS Code,Population,Area,Density
3088,Sublette County,Wyoming,56035,8697,4882,2
1349,Martin County,Minnesota,27091,19915,709,28
982,Wyandotte County,Kansas,20209,167046,151,1106
2167,McClain County,Oklahoma,40087,43516,570,76
1053,Logan County,Kentucky,21141,27771,556,50
1735,Wheeler County,Nebraska,31183,795,575,1
1625,Powder River County,Montana,30075,1702,3297,1
939,Mitchell County,Kansas,20123,5748,700,8
577,Owyhee County,Idaho,16073,12336,7678,2
806,Delaware County,Iowa,19055,17510,578,30
2115,Warren County,Ohio,39165,246553,399,618
1793,Eddy County,New Mexico,35015,60911,4182,15
1132,LaSalle Parish,Louisiana,22059,14834,663,22
562,Fremont County,Idaho,16043,13592,1867,7
451,Henry County,Georgia,13151,245235,323,759
975,Trego County,Kansas,20195,2793,888,3
2525,Bee County,Texas,48025,30924,880,35
2605,Grimes County,Texas,48185,30287,794,38
761,Starke County,Indiana,18149,23372,309,76
1206,Worcester County,Maryland,24047,53132,695,76
2530,Bosque County,Texas,48035,18503,989,19
1994,Emmons County,North Dakota,38029,3271,1510,2
2871,New Kent County,Virginia,51127,23897,210,114
2841,Fluvanna County,Virginia,51065,27723,287,97
2986,Ritchie County,West Virginia,54085,8383,454,18
31,Greene County,Alabama,01063,7629,647,12
2542,Callahan County,Texas,48059,14115,899,16
1676,Furnas County,Nebraska,31065,4604,718,6
392,Bulloch County,Georgia,13031,82442,683,121
508,Tattnall County,Georgia,13267,23052,484,48
286,Pueblo County,Colorado,08101,169622,2396,71
419,Decatur County,Georgia,13087,29038,597,49
1643,Yellowstone County,Montana,30111,167146,2635,63
1387,Wilkin County,Minnesota,27167,6395,751,9
2058,Fulton County,Ohio,39051,42450,406,105
707,Fayette County,Indiana,18041,23360,215,109
2215,Klamath County,Oregon,41035,70164,5945,12
1373,Scott County,Minnesota,27139,153268,356,431
440,Gordon County,Georgia,13129,58237,355,164
1619,Missoula County,Montana,30063,119533,2598,46
881,Barber County,Kansas,20007,4110,1134,4
2578,Duval County,Texas,48131,9756,1793,5
788,Buchanan County,Iowa,19019,20657,571,36
2180,Payne County,Oklahoma,40119,81989,686,120
911,Grant County,Kansas,20067,7324,575,13
2524,Baylor County,Texas,48023,3477,871,4
2012,Oliver County,North Dakota,38065,1873,724,3
133,Independence County,Arkansas,05063,37723,771,49
61,Tallapoosa County,Alabama,01123,41023,716,57
2643,Kenedy County,Texas,48261,340,1457,0
2191,Tillman County,Oklahoma,40141,7076,872,8
1104,Allen Parish,Louisiana,22003,22687,766,30
1117,Concordia Parish,Louisiana,22029,18376,749,25
1886,Beaufort County,North Carolina,37013,44468,959,46
1995,Foster County,North Dakota,38031,3364,635,5
1412,Grenada County,Mississippi,28043,21365,422,51
1508,Franklin County,Missouri,29071,105231,922,114
2019,Rolette County,North Dakota,38079,12048,902,13
